,Alanine (g),"Alcohol, ethyl (g)",Arginine (g),Ash (g),Aspartic acid (g),Beta-sitosterol (g),Betaine (g),Butanoic acid (g),Caffeine (g),"Calcium, Ca (g)",Calories (g),Campesterol (g),Carbohydrate (g),"Carotene, alpha (g)","Carotene, beta (g)",Cholesterol (g),Choline (g),"Cis,cis,cis-octadecatrienoic n-3 acid (g)","Cis,cis,cis-octadecatrienoic n-6 acid (g)","Cis,cis-eicosadienoic n-6 acid (g)","Cis,cis-octadecadienoic n-6 acid (g)",Cis-hexadecenoic acid (g),Cis-octadecenoic acid (g),"Copper, Cu (g)","Cryptoxanthin, beta (g)",Cystine (g),Decanoic acid (g),Dihydrophylloquinone (g),Docosahexaenoic n-3 acid (g),Docosanoic acid (g),Docosapentaenoic n-3 acid (g),Docosatetraenoic acid (g),Docosenoic acid (g),Docosenoic cis acid (g),Docosenoic trans acid (g),Dodecanoic acid (g),Eicosadienoic acid (g),Eicosadienoic n-3 acid (g),Eicosadienoic n-6 acid (g),Eicosanoic acid (g),Eicosapentaenoic n-3 acid (g),Eicosatetraenoic acid (g),Eicosenoic acid (g),Fat (g),"Fatty acids, total trans (g)","Fatty acids, total trans-monoenoic (g)","Fatty acids, total trans-polyenoic (g)",Fiber (g),"Fluoride, F (g)",Folate (g),Folic acid (g),Fructose (g),Galactose (g),Glucose (dextrose) (g),Glutamic acid (g),Glycine (g),Heptadecanoic acid (g),Heptadecenoic acid (g),Hexadecanoic acid (g),Hexadecenoic acid (g),Hexanoic acid (g),Histidine (g),Hydroxyproline (g),Irans-Octadecadienoic acid (g),"Iron, Fe (g)",Isoleucine (g),Lactose (g),Leucine (g),Lutein + zeaxanthin (g),Lycopene (g),Lysine (g),"Magnesium, Mg (g)",Maltose (g),"Manganese, Mn (g)",Menaquinone-4 (g),Methionine (g),Monounsaturated fatty acids (g),Niacin (g),Octadecadienoic CLAs acid (g),Octadecadienoic acid (g),Octadecanoic acid (g),Octadecatetraenoic acid (g),Octadecatrienoic acid (g),Octadecenoic acid (g),Octanoic acid (g),Pantothenic acid (g),Pentadecanoic acid (g),Pentadecenoic acid (g),Phenylalanine (g),"Phosphorus, P (g)",Phytosterols (g),Polyunsaturated fatty acids (g),"Potassium, K (g)",Proline (g),Protein (g),Riboflavin (g),Saturated fatty acids (g),"Selenium, Se (g)",Serine (g),Serving Size (g),"Sodium, Na (g)",Starch (g),Stigmasterol (g),Sucrose (g),Sugars (g),Tetracosanoic acid (g),Tetracosenoic cis acid (g),Tetradecanoic acid (g),Tetradecenoic acid (g),Theobromine (g),Thiamin (g),Threonine (g),"Tocopherol, alpha (g)","Tocopherol, beta (g)","Tocopherol, delta (g)","Tocopherol, gamma (g)","Tocotrienol, alpha (g)","Tocotrienol, beta (g)","Tocotrienol, delta (g)","Tocotrienol, gamma (g)","Trans,trans-octadecadienoic acid (g)",Trans-hexadecenoic acid (g),Trans-octadecadienoic acid (g),Trans-octadecatrienoic acid (g),Trans-octadecenoic acid (g),Tridecanoic acid (g),Tryptophan (g),Tyrosine (g),Uncosapentaenoic acid (g),Valine (g),Vitamin A (IU),"Vitamin A, RAE (g)",Vitamin B12 (g),Vitamin B6 (g),Vitamin C (g),Vitamin D (IU),Vitamin D2 (ergocalciferol) (g),Vitamin D3 (cholecalciferol) (g),Vitamin E (g),Vitamin K (g),Water (g),"Zinc, Zn (g)"
"Rosemary, fresh",0.172,0.0,0.153,2.35,0.391,0.0,0.0,0.0,0.0,0.317,0.0,0.0,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000301,0.0,0.037,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.048,5.86,0.0,0.0,0.0,14.1,0.0,0.00010899999999999999,0.0,0.0,0.0,0.0,0.361,0.159,0.0,0.0,1.921,0.066,0.0,0.066,0.0,0.0,0.0066500000000000005,0.136,0.0,0.249,0.0,0.0,0.143,0.091,0.0,0.00096,0.0,0.047,1.16,0.000912,0.0,0.447,0.231,0.0,0.414,1.024,0.0,0.000804,0.0,0.0,0.169,0.066,0.044,0.901,0.668,0.136,3.31,0.000152,2.838,0.0,0.129,100.0,0.026000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.0,0.0,3.6e-05,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.1,0.0,0.165,2924.0,0.000146,0.0,0.00033600000000000004,0.0218,0.0,0.0,0.0,0.0,0.0,67.77,0.00093
"Salad dressing, lite, buttermilk",0.0,0.0,0.0,2.96,0.0,0.038,0.0,0.0,0.0,0.04,0.0,0.02,21.33,2e-06,4e-06,0.016,0.016,0.527,0.0,0.0,3.626,0.013,2.725,0.000162,2e-06,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.057,12.42,0.059,0.0,0.059,1.1,0.0,4e-06,0.0,0.61,0.0,0.66,0.0,0.0,0.004,0.0,0.793,0.013,0.0,0.0,0.0,0.059,0.00069,0.0,1.04,0.0,4.9e-05,0.0,0.0,0.006,0.0,5.3e-05,0.0,0.0,2.794,7e-06,0.0,3.685,0.377,0.0,0.527,2.725,0.0,0.000861,0.0,0.0,0.0,0.193,0.0,4.213,0.132,0.0,1.25,2.7e-05,1.25,2.8999999999999998e-06,0.0,100.0,1.12,0.0,0.009000000000000001,0.89,3.77,0.0,0.0,0.013,0.0,0.0,2.2e-05,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,1.8e-05,0.0,2.9000000000000004e-05,0.0006,0.0,0.0,0.0,0.0016,3.48e-05,62.04,0.00062
"Salt, table",0.0,0.0,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,1e-07,0.0,100.0,38.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0001
"Sauce, canned, immature green, hot, peppers, chili",0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,5.0,1.1e-05,0.00033299999999999996,0.0,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,8.7e-05,2.4999999999999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.9,0.0,1.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.001,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.000358,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.068,0.0007,0.0,0.012,0.002,0.0,0.001,0.067,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.012,0.5640000000000001,0.0,0.7,3e-05,0.013,2e-07,0.0,100.0,0.025,0.0,0.0,0.0,2.55,0.0,0.0,0.0,0.0,0.0,3e-05,0.0,0.00034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,2.9e-05,0.0,0.00014000000000000001,0.068,0.0,0.0,0.0,0.00034,7.099999999999999e-06,93.9,0.00015
"Sauce, canned, mature red, chili, hot, peppers",0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.009000000000000001,0.0,0.0,3.9,1.7e-05,0.000257,0.0,0.0060999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,8.7e-05,1.8999999999999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.6,0.0,0.0,0.0,0.7,0.0,1.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.005,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.000341,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.411,0.0006,0.0,0.069,0.013,0.0,0.004,0.403,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.074,0.5640000000000001,0.0,0.9,8.999999999999999e-05,0.08,2e-07,0.0,100.0,0.025,0.0,0.0,0.0,2.55,0.0,0.0,0.001,0.0,0.0,1e-05,0.0,0.00035999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.0,2.3e-05,0.0,0.00014000000000000001,0.03,0.0,0.0,0.0,0.00035999999999999997,6.7e-06,94.1,0.00015
"Sauce, pepper or hot, ready-to-serve",0.021,0.0,0.025,7.39,0.073,0.0,0.0,0.0,0.0,0.008,0.0,0.0,1.75,6e-06,9.099999999999999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8e-05,7e-06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.3,0.0,6e-06,0.0,0.0,0.0,0.0,0.067,0.019,0.0,0.0,0.044,0.001,0.0,0.01,0.0,0.0,0.00048,0.017,0.0,0.027,0.000121,0.0,0.023,0.005,0.0,4.9000000000000005e-05,0.0,0.006,0.03,0.000254,0.0,0.195,0.007,0.0,0.001,0.029,0.0,0.00011,0.0,0.0,0.016,0.011,0.0,0.196,0.14400000000000002,0.022,0.51,8.2e-05,0.052,0.0,0.021,100.0,2.6430000000000002,0.0,0.0,0.0,1.26,0.0,0.0,0.001,0.0,0.0,3.6e-05,0.019,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.011,0.0,0.022,162.0,8e-06,0.0,0.000157,0.0748,0.0,0.0,0.0,0.00012,2.4e-06,89.98,0.00011
"Sauce, tomato based, steak",0.0,0.0,0.0,5.08,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,22.04,0.0,0.000177,0.0,0.0115,0.0,0.0,0.0,0.0,0.0,0.0,0.000189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,1.5,0.0,8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013700000000000001,0.0,0.0,0.0,0.0,0.012563999999999999,0.0,0.017,0.0,0.000174,0.0,0.0,0.0,0.0009130000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.312,0.0,1.25,5.4e-05,0.0,8e-07,0.0,100.0,1.647,0.0,0.0,0.0,9.82,0.0,0.0,0.0,0.0,0.0,3.4000000000000007e-05,0.0,0.00116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,1.4999999999999999e-05,0.0,0.000105,0.0068,0.0,0.0,0.0,0.00116,2.2e-06,71.0,0.00034
"Seasoning mix, coriander & annatto, sazon, dry",0.0,0.0,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
"Seasoning mix, original, chili, dry",0.0,0.0,0.0,14.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.556,0.0,0.0,10.82,0.0,0.0,0.0,0.0,100.0,4.616,0.0,0.0,0.0,8.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2816.0,0.0,0.0,0.0,0.005900000000000001,0.0,0.0,0.0,0.0,0.0,10.75,0.0
"Seasoning mix, original, taco, dry",0.0,0.0,0.0,31.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.5,0.0,0.0,0.0,0.0,100.0,7.203,0.0,0.0,0.0,10.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0
"Seeds, high-fat, sesame flour",1.609,0.0,4.565,4.6,2.858,0.0,0.0,0.0,0.0,0.159,0.0,0.0,26.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00152,0.0,0.621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,37.1,0.0,0.0,0.0,0.0,0.0,3.1e-05,0.0,0.0,0.0,0.0,6.865,2.108,0.0,0.0,3.317,0.111,0.0,0.906,0.0,0.0,0.01517,1.324,0.0,2.358,0.0,0.0,0.987,0.361,0.0,0.001489,0.0,1.016,14.01,0.013369,0.0,15.964,1.561,0.0,0.281,13.833,0.0,0.002928,0.0,0.0,1.632,0.807,0.0,16.261,0.423,1.406,30.78,0.00028599999999999996,5.196,0.0,1.679,100.0,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.0,0.0,0.002684,1.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.674,1.289,0.0,1.719,69.0,3e-06,0.0,0.000152,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.01067
"Seeds, low-fat, sesame flour",2.62,0.0,7.436,5.5,4.654,0.0,0.0,0.0,0.0,0.149,0.0,0.0,35.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001425,0.0,1.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,1.75,0.0,0.0,0.0,0.0,0.0,2.9e-05,0.0,0.0,0.0,0.0,11.182,3.434,0.0,0.0,0.128,0.004,0.0,1.476,0.0,0.0,0.014220000000000002,2.157,0.0,3.841,0.0,0.0,1.608,0.338,0.0,0.0013959999999999999,0.0,1.656,0.543,0.012532999999999999,0.0,0.618,0.06,0.0,0.011,0.536,0.0,0.002745,0.0,0.0,2.658,0.757,0.0,0.63,0.397,2.289,50.14,0.00026900000000000003,0.201,0.0,2.734,100.0,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.002516,2.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097,2.1,0.0,2.8,64.0,3e-06,0.0,0.00014199999999999998,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.01
"Seeds, paste, sesame butter",0.945,0.0,2.682,5.4,1.679,0.0,0.0,0.0,0.0,0.96,0.0,0.0,24.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004214000000000001,0.0,0.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,50.87,0.0,0.0,0.0,5.5,0.0,9.999999999999999e-05,0.0,0.0,0.0,0.0,4.033,1.239,0.0,0.0,4.548,0.153,0.0,0.532,0.0,0.0,0.0192,0.778,0.0,1.385,0.0,0.0,0.58,0.362,0.0,0.00254,0.0,0.597,19.209,0.0067,0.0,21.888,2.14,0.0,0.385,18.966,0.0,5.2e-05,0.0,0.0,0.959,0.659,0.0,22.296,0.582,0.826,18.08,0.0002,7.124,3.5499999999999996e-05,0.986,100.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.127,0.0,0.0,0.00024,0.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396,0.757,0.0,1.01,50.0,3e-06,0.0,0.000816,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0072900000000000005
"Shallots, freeze-dried",0.555,0.0,0.89,4.5,1.138,0.0,0.0,0.0,0.0,0.183,0.0,0.0,80.7,0.0,1.3e-05,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.000425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,15.7,0.0,0.000116,0.0,0.0,0.0,0.0,2.545,0.61,0.0,0.0,0.075,0.0,0.0,0.213,0.0,0.0,0.006,0.522,0.0,0.734,3.7999999999999995e-05,0.0,0.614,0.10400000000000001,0.0,0.001417,0.0,0.134,0.07,0.001,0.0,0.185,0.007,0.0,0.01,0.07,0.0,0.001408,0.0,0.0,0.396,0.296,0.0,0.196,1.6500000000000001,0.813,12.3,0.0001,0.084,5.7e-06,0.555,100.0,0.059000000000000004,0.0,0.0,0.0,38.16,0.0,0.0,0.002,0.0,0.0,0.0003,0.482,0.00017999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138,0.356,0.0,0.543,21.0,1e-06,0.0,0.001675,0.039,0.0,0.0,0.0,0.00017999999999999998,3.9e-06,2.0,0.00193
"Shallots, raw",0.113,0.0,0.181,0.8,0.231,0.0,0.0,0.0,0.0,0.037,0.0,0.0,16.8,0.0,3e-06,0.0,0.011300000000000001,0.0,0.0,0.0,0.0,0.0,0.0,8.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,3.2,0.0,3.4e-05,0.0,0.0,0.0,0.0,0.517,0.124,0.0,0.0,0.015,0.0,0.0,0.043,0.0,0.0,0.0012,0.106,0.0,0.149,8e-06,0.0,0.125,0.021,0.0,0.000292,0.0,0.027,0.014,0.0002,0.0,0.037,0.001,0.0,0.002,0.014,0.0,0.00029,0.0,0.0,0.081,0.06,0.005,0.039,0.334,0.165,2.5,2e-05,0.017,1.2e-06,0.113,100.0,0.012,0.0,0.0,0.0,7.87,0.0,0.0,0.0,0.0,0.0,6e-05,0.098,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.072,0.0,0.11,4.0,0.0,0.0,0.000345,0.008,0.0,0.0,0.0,4e-05,8e-07,79.8,0.0004
"Shortening, composite, household, vegetable",0.0,0.0,0.0,0.03,0.0,0.138,0.0,0.0,0.0,0.001,0.0,0.05,0.0,0.0,0.0,0.0,0.0002,1.883,0.0,0.0,23.76,0.0,30.309,0.0,0.0,0.0,0.0,0.0001649,0.0,0.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.428,0.0,0.0,0.088,99.97,13.164,10.767,2.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.0,12.46,0.021,0.0,0.0,0.0,2.397,7.000000000000001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.186,0.0,0.057,26.213,11.412,0.0,1.883,41.076,0.0,0.00068,0.0,0.0,0.0,0.0,0.0,28.097,0.0,0.0,0.0,0.0,24.98,0.0,0.0,100.0,0.004,0.0,0.051000000000000004,0.0,0.0,0.052,0.0,0.167,0.0,0.0,2e-05,0.0,0.00613,0.00044,0.01536,0.032299999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.00613,5.32e-05,0.0,0.0
"Shortening, fractionated palm, confectionery",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,0.0,0.0,0.5,26.2,0.0,0.0,29.3,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.5,0.0,0.0,0.0,0.0,65.5,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0
"Shortening, lard and vegetable oil, household",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.4,0.0,0.0,9.7,15.2,0.0,1.1,40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.013000000000000001,10.9,0.0,0.0,0.0,0.0,40.3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,2.1499999999999997e-05,0.0,0.0
"Snacks, gluten- free made with cornstarch and potato flour, Pretzels",0.036,0.0,0.034,4.28,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.62,0.0,0.0,0.0,0.0029,0.0,0.0,0.0,0.0,0.0,0.0,5.2e-05,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.006,6.67,0.0,0.0,0.0,3.3,1e-07,2e-06,0.0,0.0,0.0,0.0,0.102,0.024,0.0,0.0,2.94,0.02,0.0,0.017,0.0,0.0,0.00046,0.027,0.0,0.056,0.0,0.0,0.032,0.007,0.0,6.500000000000001e-05,0.0,0.012,2.406,0.00023200000000000003,0.0,0.615,0.291,0.0,0.015,2.38,0.0,3.1e-05,0.0,0.0,0.031,0.021,0.0,0.63,0.069,0.036,3.52,3e-06,3.307,2.2e-06,0.025,100.0,1.567,0.0,0.0,0.0,4.22,0.0,0.0,0.068,0.0,0.0,1.5e-05,0.025,0.00107,0.0,0.0,0.0,0.00147,0.0,8e-05,0.00101,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.022,0.0,0.034,0.0,0.0,0.0,5.1e-05,0.0003,0.0,0.0,0.0,0.00107,5e-07,6.91,8.999999999999999e-05
