,18,Adjusted Protein,Alanine,"Alcohol, ethyl",Arginine,Ash,Aspartic acid,Beta-sitosterol,Betaine,Butanoic acid,Caffeine,"Calcium, Ca",Calories,Campesterol,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,Choline,"Cis,cis,cis-octadecatrienoic n-3 acid","Cis,cis,cis-octadecatrienoic n-6 acid","Cis,cis-eicosadienoic n-6 acid","Cis,cis-octadecadienoic n-6 acid",Cis-hexadecenoic acid,Cis-octadecenoic acid,"Copper, Cu","Cryptoxanthin, beta",Cystine,Decanoic acid,Dihydrophylloquinone,Docosahexaenoic n-3 acid,Docosanoic acid,Docosapentaenoic n-3 acid,Docosatetraenoic acid,Docosenoic acid,Docosenoic cis acid,Docosenoic trans acid,Dodecanoic acid,Eicosadienoic acid,Eicosadienoic n-3 acid,Eicosadienoic n-6 acid,Eicosanoic acid,Eicosapentaenoic n-3 acid,Eicosatetraenoic acid,Eicosenoic acid,Fat,"Fatty acids, total trans","Fatty acids, total trans-monoenoic","Fatty acids, total trans-polyenoic",Fiber,"Fluoride, F",Folate,Folic acid,Fructose,Galactose,Glucose (dextrose),Glutamic acid,Glycine,Heptadecanoic acid,Heptadecenoic acid,Hexadecanoic acid,Hexadecenoic acid,Hexanoic acid,Histidine,Hydroxyproline,Irans-Octadecadienoic acid,"Iron, Fe",Isoleucine,Lactose,Leucine,Lutein + zeaxanthin,Lycopene,Lysine,"Magnesium, Mg",Maltose,"Manganese, Mn",Menaquinone-4,Methionine,Monounsaturated fatty acids,Niacin,Octadecadienoic CLAs acid,Octadecadienoic acid,Octadecanoic acid,Octadecatetraenoic acid,Octadecatrienoic acid,Octadecenoic acid,Octanoic acid,Pantothenic acid,Pentadecanoic acid,Pentadecenoic acid,Phenylalanine,"Phosphorus, P",Phytosterols,Polyunsaturated fatty acids,"Potassium, K",Proline,Protein,Riboflavin,Saturated fatty acids,"Selenium, Se",Serine,Serving Size,"Sodium, Na",Starch,Stigmasterol,Sucrose,Sugars,Tetracosanoic acid,Tetracosenoic cis acid,Tetradecanoic acid,Tetradecenoic acid,Theobromine,Thiamin,Threonine,"Tocopherol, alpha","Tocopherol, beta","Tocopherol, delta","Tocopherol, gamma","Tocotrienol, alpha","Tocotrienol, beta","Tocotrienol, delta","Tocotrienol, gamma","Trans,trans-octadecadienoic acid",Trans-hexadecenoic acid,Trans-octadecadienoic acid,Trans-octadecatrienoic acid,Trans-octadecenoic acid,Tridecanoic acid,Tryptophan,Tyrosine,Uncosapentaenoic acid,Valine,Vitamin A,"Vitamin A, RAE",Vitamin B12,Vitamin B6,Vitamin C,Vitamin D,Vitamin D2 (ergocalciferol),Vitamin D3 (cholecalciferol),Vitamin E,Vitamin K,Water,"Zinc, Zn"
"Sauce, tomato based, steak",,,,0.0 g,,5.08 g,,,,0.000 g,0.00 mg,19.00 mg,95,,22.04 g,0.00 mcg,177.00 mcg,0.00 mg,11.5 mg,,,,,,,0.189 mg,0.00 mcg,,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.000 g,0.23 g,,,,1.5 g,,8.00 mcg,0.00 mcg,,,,,,,,0.000 g,0.000 g,0.000 g,,,,1.37 mg,,,,0.00 mcg,12564.00 mcg,,17.00 mg,,0.174 mg,,,0.000 g,0.913 mg,,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,,,,,33.00 mg,,0.000 g,312.00 mg,,1.25 g,0.054 mg,0.000 g,0.8 mcg,,100 g,1647.00 mg,,,,9.82 g,,,0.000 g,,0.00 mg,0.034 mg,,1.16 mg,,,,,,,,,,,,,,,,,,295.00 IU,15.00 mcg,0.00 mcg,0.105 mg,6.8 mg,0.00 IU,,,1.16 mg,2.2 mcg,71.00 g,0.34 mg
"Seasoning mix, coriander & annatto, sazon, dry",,,,,,99.80 g,,,,,,0.00 mg,0,,0.00 g,,,0.00 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 g,0.000 g,,,0.0 g,,,,,,,,,,,,,,,,,0.00 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 g,,0.000 g,,,100 g,17000.00 mg,,,,0.00 g,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 IU,,,,0.0 mg,,,,,,0.20 g,
"Seasoning mix, original, chili, dry",,,,,,14.56 g,,,,,,0.00 mg,335,,56.56 g,,,0.00 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.30 g,0.000 g,,,10.8 g,,,,,,,,,,,,,,,,,3.90 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,5.556 g,,,10.82 g,,0.000 g,,,100 g,4616.00 mg,,,,8.67 g,,,,,,,,,,,,,,,,,,,,,,,,,,2816.00 IU,,,,5.9 mg,,,,,,10.75 g,
"Seasoning mix, original, taco, dry",,,,,,31.80 g,,,,,,0.00 mg,322,,58.00 g,,,0.00 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 g,0.000 g,,,13.3 g,,0.00 mcg,,,,,,,,,,,,,,,7.20 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.00 mg,,4.50 g,,0.000 g,,,100 g,7203.00 mg,,,,10.83 g,,,,,,,,,,,,,,,,,,,,,,,,,,3744.00 IU,,,,0.0 mg,,,,,,5.70 g,
"Seeds, high-fat, sesame flour",,,1.609 g,,4.565 g,4.60 g,2.858 g,,,,,159.00 mg,526,,26.62 g,,,0.00 mg,,,,,,,,1.520 mg,,0.621 g,,,,,,,,,,,,,,,,,0.052 g,37.10 g,,,,,,31.00 mcg,0.00 mcg,,,,6.865 g,2.108 g,,,3.317 g,0.111 g,,0.906 g,,,15.17 mg,1.324 g,,2.358 g,,,0.987 g,361.00 mg,,1.489 mg,,1.016 g,14.010 g,13.369 mg,,15.964 g,1.561 g,,0.281 g,13.833 g,,2.928 mg,,,1.632 g,807.00 mg,,16.261 g,423.00 mg,1.406 g,30.78 g,0.286 mg,5.196 g,,1.679 g,100 g,41.00 mg,,,,,,,0.092 g,,,2.684 mg,1.278 g,,,,,,,,,,,,,,,0.674 g,1.289 g,,1.719 g,69.00 IU,3.00 mcg,0.00 mcg,0.152 mg,0.0 mg,0.00 IU,,,,,0.90 g,10.67 mg
"Seeds, low-fat, sesame flour",,,2.620 g,,7.436 g,5.50 g,4.654 g,,,,,149.00 mg,333,,35.51 g,,,0.00 mg,,,,,,,,1.425 mg,,1.012 g,,,,,,,,,,,,,,,,,0.002 g,1.75 g,,,,,,29.00 mcg,0.00 mcg,,,,11.182 g,3.434 g,,,0.128 g,0.004 g,,1.476 g,,,14.22 mg,2.157 g,,3.841 g,,,1.608 g,338.00 mg,,1.396 mg,,1.656 g,0.543 g,12.533 mg,,0.618 g,0.060 g,,0.011 g,0.536 g,,2.745 mg,,,2.658 g,757.00 mg,,0.630 g,397.00 mg,2.289 g,50.14 g,0.269 mg,0.201 g,,2.734 g,100 g,39.00 mg,,,,,,,0.004 g,,,2.516 mg,2.081 g,,,,,,,,,,,,,,,1.097 g,2.100 g,,2.800 g,64.00 IU,3.00 mcg,0.00 mcg,0.142 mg,0.0 mg,0.00 IU,,,,,7.10 g,10.00 mg
"Seeds, paste, sesame butter",,,0.945 g,0.0 g,2.682 g,5.40 g,1.679 g,,,0.000 g,,960.00 mg,586,,24.05 g,,,0.00 mg,,,,,,,,4.214 mg,,0.365 g,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.071 g,50.87 g,,,,5.5 g,,100.00 mcg,0.00 mcg,,,,4.033 g,1.239 g,,,4.548 g,0.153 g,0.000 g,0.532 g,,,19.20 mg,0.778 g,,1.385 g,,,0.580 g,362.00 mg,,2.540 mg,,0.597 g,19.209 g,6.700 mg,,21.888 g,2.140 g,0.000 g,0.385 g,18.966 g,0.000 g,0.052 mg,,,0.959 g,659.00 mg,,22.296 g,582.00 mg,0.826 g,18.08 g,0.200 mg,7.124 g,35.5 mcg,0.986 g,100 g,12.00 mg,,,,,,,0.127 g,,,0.240 mg,0.751 g,,,,,,,,,,,,,,,0.396 g,0.757 g,,1.010 g,50.00 IU,3.00 mcg,0.00 mcg,0.816 mg,0.0 mg,0.00 IU,,,,,1.60 g,7.29 mg
"Shallots, freeze-dried",,,0.555 g,0.0 g,0.890 g,4.50 g,1.138 g,,,0.000 g,0.00 mg,183.00 mg,348,,80.70 g,0.00 mcg,13.00 mcg,0.00 mg,55.0 mg,,,,,,,0.425 mg,0.00 mcg,,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.000 g,0.50 g,0.000 g,,,15.7 g,,116.00 mcg,0.00 mcg,,,,2.545 g,0.610 g,,,0.075 g,0.000 g,0.000 g,0.213 g,,,6.00 mg,0.522 g,,0.734 g,38.00 mcg,0.00 mcg,0.614 g,104.00 mg,,1.417 mg,,0.134 g,0.070 g,1.000 mg,,0.185 g,0.007 g,0.000 g,0.010 g,0.070 g,0.000 g,1.408 mg,,,0.396 g,296.00 mg,,0.196 g,1650.00 mg,0.813 g,12.30 g,0.100 mg,0.084 g,5.7 mcg,0.555 g,100 g,59.00 mg,,,,38.16 g,,,0.002 g,,0.00 mg,0.300 mg,0.482 g,0.18 mg,,,,,,,,,,,,,,0.138 g,0.356 g,,0.543 g,21.00 IU,1.00 mcg,0.00 mcg,1.675 mg,39.0 mg,0.00 IU,,,0.18 mg,3.9 mcg,2.00 g,1.93 mg
"Shallots, raw",,,0.113 g,0.0 g,0.181 g,0.80 g,0.231 g,,,0.000 g,0.00 mg,37.00 mg,72,,16.80 g,0.00 mcg,3.00 mcg,0.00 mg,11.3 mg,,,,,,,0.088 mg,0.00 mcg,,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.000 g,0.10 g,0.000 g,,,3.2 g,,34.00 mcg,0.00 mcg,,,,0.517 g,0.124 g,,,0.015 g,0.000 g,0.000 g,0.043 g,,,1.20 mg,0.106 g,,0.149 g,8.00 mcg,0.00 mcg,0.125 g,21.00 mg,,0.292 mg,,0.027 g,0.014 g,0.200 mg,,0.037 g,0.001 g,0.000 g,0.002 g,0.014 g,0.000 g,0.290 mg,,,0.081 g,60.00 mg,5.00 mg,0.039 g,334.00 mg,0.165 g,2.50 g,0.020 mg,0.017 g,1.2 mcg,0.113 g,100 g,12.00 mg,,,,7.87 g,,,0.000 g,,0.00 mg,0.060 mg,0.098 g,0.04 mg,,,,,,,,,,,,,,0.028 g,0.072 g,,0.110 g,4.00 IU,0.00 mcg,0.00 mcg,0.345 mg,8.0 mg,0.00 IU,,,0.04 mg,0.8 mcg,79.80 g,0.40 mg
"Shortening, composite, household, vegetable",,,,0.0 g,,0.03 g,,138.00 mg,,0.000 g,0.00 mg,1.00 mg,884,50.00 mg,0.00 g,0.00 mcg,0.00 mcg,0.00 mg,0.2 mg,1.883 g,,,23.760 g,,30.309 g,0.000 mg,0.00 mcg,,0.000 g,164.9 mcg,0.000 g,0.367 g,0.000 g,,0.000 g,,,0.000 g,,,,0.428 g,0.000 g,0.000 g,0.088 g,99.97 g,13.164 g,10.767 g,2.397 g,0.0 g,,0.00 mcg,0.00 mcg,,,,,,0.095 g,,12.460 g,0.021 g,0.000 g,,,2.397 g,0.07 mg,,,,0.00 mcg,0.00 mcg,,0.00 mg,,0.000 mg,,,41.186 g,0.000 mg,0.057 g,26.213 g,11.412 g,0.000 g,1.883 g,41.076 g,0.000 g,0.680 mg,,,,0.00 mg,,28.097 g,0.00 mg,,0.00 g,0.000 mg,24.980 g,0.0 mcg,,100 g,4.00 mg,,51.00 mg,,0.00 g,0.052 g,0.000 g,0.167 g,0.000 g,0.00 mg,0.020 mg,,6.13 mg,0.44 mg,15.36 mg,32.30 mg,,,,,,,,,10.767 g,,,,,,0.00 IU,0.00 mcg,0.00 mcg,0.001 mg,0.0 mg,0.00 IU,,,6.13 mg,53.2 mcg,0.00 g,0.00 mg
"Shortening, fractionated palm, confectionery",,,0.000 g,,0.000 g,0.00 g,0.000 g,,,0.000 g,,0.00 mg,884,,0.00 g,,,0.00 mg,,,,,,,,,,0.000 g,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,1.100 g,,,,,0.000 g,0.000 g,0.000 g,100.00 g,,,,0.0 g,,0.00 mcg,0.00 mcg,,,,0.000 g,0.000 g,,,36.000 g,0.000 g,0.000 g,0.000 g,,,0.00 mg,0.000 g,,0.000 g,,,0.000 g,0.00 mg,,,,0.000 g,29.600 g,0.000 mg,,0.500 g,26.200 g,0.000 g,0.000 g,29.300 g,0.000 g,0.000 mg,,,0.000 g,0.00 mg,49.00 mg,0.500 g,0.00 mg,0.000 g,0.00 g,0.000 mg,65.500 g,0.0 mcg,0.000 g,100 g,0.00 mg,,,,,,,0.900 g,,,0.000 mg,0.000 g,19.00 mg,,,,,,,,,,,,,,0.000 g,0.000 g,,0.000 g,0.00 IU,0.00 mcg,0.00 mcg,0.000 mg,0.0 mg,,,,19.00 mg,,0.00 g,0.00 mg
"Shortening, lard and vegetable oil, household",,,0.000 g,0.0 g,0.000 g,0.00 g,0.000 g,,,0.000 g,0.00 mg,0.00 mg,900,,0.00 g,0.00 mcg,0.00 mcg,56.00 mg,25.0 mg,,,,,,,0.000 mg,0.00 mcg,0.000 g,0.100 g,,0.000 g,,0.000 g,,0.000 g,,,0.100 g,,,,,0.000 g,0.000 g,0.000 g,100.00 g,,,,0.0 g,,0.00 mcg,0.00 mcg,,,,0.000 g,0.000 g,,,23.000 g,3.100 g,0.000 g,0.000 g,,,0.00 mg,0.000 g,,0.000 g,0.00 mcg,0.00 mcg,0.000 g,0.00 mg,,,,0.000 g,44.400 g,0.000 mg,,9.700 g,15.200 g,0.000 g,1.100 g,40.900 g,0.000 g,0.000 mg,,,0.000 g,0.00 mg,13.00 mg,10.900 g,0.00 mg,0.000 g,0.00 g,0.000 mg,40.300 g,0.0 mcg,0.000 g,100 g,0.00 mg,,,,0.00 g,,,1.600 g,,0.00 mg,0.000 mg,0.000 g,1.00 mg,,,,,,,,,,,,,,0.000 g,0.000 g,,0.000 g,0.00 IU,0.00 mcg,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,,,1.00 mg,21.5 mcg,0.00 g,0.00 mg
"Snacks, gluten- free made with cornstarch and potato flour, Pretzels",,,0.036 g,0.0 g,0.034 g,4.28 g,0.093 g,,0.0 mg,0.000 g,0.00 mg,0.00 mg,389,,78.62 g,0.00 mcg,0.00 mcg,0.00 mg,2.9 mg,,,,,,,0.052 mg,0.00 mcg,0.009 g,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.008 g,,,,,0.000 g,0.000 g,0.006 g,6.67 g,,,,3.3 g,0.1 mcg,2.00 mcg,0.00 mcg,,,,0.102 g,0.024 g,,,2.940 g,0.020 g,0.000 g,0.017 g,,,0.46 mg,0.027 g,,0.056 g,0.00 mcg,0.00 mcg,0.032 g,7.00 mg,,0.065 mg,,0.012 g,2.406 g,0.232 mg,,0.615 g,0.291 g,0.000 g,0.015 g,2.380 g,0.000 g,0.031 mg,,,0.031 g,21.00 mg,0.00 mg,0.630 g,69.00 mg,0.036 g,3.52 g,0.003 mg,3.307 g,2.2 mcg,0.025 g,100 g,1567.00 mg,,,,4.22 g,,,0.068 g,,0.00 mg,0.015 mg,0.025 g,1.07 mg,0.00 mg,0.00 mg,0.00 mg,1.47 mg,0.00 mg,0.08 mg,1.01 mg,,,,,,,0.008 g,0.022 g,,0.034 g,0.00 IU,0.00 mcg,0.00 mcg,0.051 mg,0.3 mg,0.00 IU,,,1.07 mg,0.5 mcg,6.91 g,0.09 mg
"Snacks, shrimp cracker",,,0.269 g,0.0 g,0.360 g,2.31 g,0.401 g,68.00 mg,38.2 mg,0.000 g,0.00 mg,20.00 mg,426,40.00 mg,59.09 g,0.00 mcg,0.00 mcg,2.00 mg,17.6 mg,,,0.000 g,,,,0.221 mg,0.00 mcg,0.147 g,0.000 g,0.0 mcg,0.001 g,0.202 g,0.000 g,0.000 g,0.000 g,,,0.000 g,0.000 g,,,0.398 g,0.001 g,0.000 g,0.168 g,17.86 g,0.066 g,,,5.6 g,8.7 mcg,23.00 mcg,0.00 mcg,0.02 g,0.00 g,0.00 g,2.309 g,0.311 g,0.001 g,0.001 g,3.435 g,0.027 g,0.000 g,0.192 g,,,1.91 mg,0.242 g,0.00 g,0.489 g,116.00 mcg,0.00 mcg,0.208 g,72.00 mg,0.00 g,2.140 mg,0.0 mcg,0.126 g,7.997 g,2.631 mg,,2.802 g,1.320 g,0.000 g,1.167 g,7.802 g,0.000 g,0.321 mg,0.000 g,0.000 g,0.367 g,191.00 mg,,3.971 g,193.00 mg,1.100 g,7.14 g,0.091 mg,5.357 g,33.1 mcg,0.334 g,100 g,571.00 mg,30.36 g,0.00 mg,21.40 g,21.43 g,0.000 g,0.000 g,0.001 g,0.000 g,0.00 mg,0.264 mg,0.200 g,3.28 mg,0.12 mg,0.16 mg,5.52 mg,0.16 mg,0.00 mg,0.00 mg,0.01 mg,,,,,,,0.094 g,0.152 g,0.000 g,0.306 g,0.00 IU,0.00 mcg,0.02 mcg,0.216 mg,0.0 mg,0.00 IU,,0.0 mcg,3.28 mg,12.8 mcg,13.60 g,1.38 mg
"Soup, dry, chicken broth cubes",,,,,,54.70 g,,,,,,190.00 mg,198,,23.50 g,0.00 mcg,0.00 mcg,13.00 mg,,,,,,,,0.000 mg,0.00 mcg,,,,,,,,,,,0.000 g,,,,,,0.000 g,0.040 g,4.70 g,,,,0.0 g,,32.00 mcg,0.00 mcg,,,,,,,,0.930 g,0.200 g,,,,,1.87 mg,,,,0.00 mcg,0.00 mcg,,56.00 mg,,0.377 mg,,,1.920 g,3.900 mg,,1.570 g,0.240 g,,0.050 g,1.680 g,,0.600 mg,,,,191.00 mg,,1.620 g,374.00 mg,,14.60 g,0.380 mg,1.200 g,27.9 mcg,,100 g,24000.00 mg,,,,0.00 g,,,0.030 g,,,0.190 mg,,0.09 mg,,,,,,,,,,,,,,,,,,2.00 IU,0.00 mcg,0.30 mcg,0.100 mg,1.0 mg,,,,0.09 mg,0.0 mcg,2.50 g,0.20 mg
"Soup, dry, cubed, beef broth",,,,0.0 g,,59.30 g,,,,0.000 g,0.00 mg,60.00 mg,170,,16.10 g,0.00 mcg,0.00 mcg,4.00 mg,113.4 mg,,,,,,,0.000 mg,0.00 mcg,,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.040 g,,,,,0.000 g,0.000 g,0.010 g,4.00 g,,,,0.0 g,,32.00 mcg,0.00 mcg,,,,,,,,1.000 g,0.170 g,0.000 g,,,,2.23 mg,,,,0.00 mcg,0.00 mcg,,50.00 mg,,0.386 mg,,,1.670 g,3.300 mg,,0.120 g,0.760 g,0.000 g,0.020 g,1.440 g,0.000 g,0.300 mg,,,,225.00 mg,,0.160 g,403.00 mg,,17.30 g,0.240 mg,1.990 g,27.6 mcg,,100 g,24000.00 mg,,,,14.51 g,,,0.150 g,,0.00 mg,0.200 mg,,0.00 mg,,,,,,,,,,,,,,,,,,1.00 IU,0.00 mcg,1.00 mcg,0.200 mg,0.0 mg,0.00 IU,,,0.00 mg,0.0 mcg,3.30 g,0.21 mg
"Soup, dry, powder, beef broth or bouillon",,,,0.0 g,,54.50 g,,,,0.000 g,0.00 mg,60.00 mg,213,,17.40 g,0.00 mcg,0.00 mcg,10.00 mg,113.4 mg,,,,,,,0.000 mg,0.00 mcg,,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.080 g,,,,,0.000 g,0.000 g,0.030 g,8.89 g,,,,0.0 g,,32.00 mcg,0.00 mcg,,,,,,,,2.220 g,0.372 g,0.000 g,,,,1.00 mg,,,,0.00 mcg,0.00 mcg,,51.00 mg,,0.459 mg,,,3.616 g,4.467 mg,,0.281 g,1.688 g,0.000 g,0.050 g,3.215 g,0.000 g,0.300 mg,,,,320.00 mg,,0.332 g,446.00 mg,,15.97 g,0.243 mg,4.320 g,27.6 mcg,,100 g,26000.00 mg,,,,16.71 g,,,0.332 g,,0.00 mg,0.070 mg,,2.17 mg,,,,,,,,,,,,,,,,,,0.00 IU,0.00 mcg,1.00 mcg,0.200 mg,0.0 mg,0.00 IU,,,2.17 mg,3.2 mcg,3.27 g,0.00 mg
"Soup, lower sodium, beef broth, SWANSON",,,,,,0.50 g,,,,0.000 g,,2.00 mg,6,,0.21 g,,,0.00 mg,,0.000 g,0.000 g,0.000 g,0.002 g,0.000 g,0.008 g,0.009 mg,,,0.004 g,,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.08 g,0.003 g,0.003 g,0.000 g,,,,,0.00 g,0.00 g,0.20 g,,,0.000 g,0.000 g,0.011 g,0.000 g,0.000 g,,,,0.04 mg,,0.00 g,,,,,1.00 mg,0.00 g,0.005 mg,,,0.012 g,0.500 mg,0.000 g,0.002 g,0.010 g,0.000 g,0.000 g,0.011 g,0.000 g,0.050 mg,0.002 g,0.001 g,,10.00 mg,,0.002 g,23.00 mg,,1.20 g,0.085 mg,0.030 g,0.0 mcg,,100 g,180.00 mg,,,0.00 g,0.20 g,0.000 g,0.000 g,0.003 g,0.001 g,,0.020 mg,,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,,0.000 g,0.000 g,0.000 g,0.003 g,,,,,,0.00 IU,0.00 mcg,0.00 mcg,0.107 mg,,,,,0.00 mg,,98.00 g,0.32 mg
"Sour cream, fat free",,,,0.0 g,,0.70 g,,,,0.000 g,0.00 mg,125.00 mg,74,,15.60 g,0.00 mcg,9.00 mcg,9.00 mg,19.2 mg,,,,,,,0.016 mg,0.00 mcg,,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.000 g,0.00 g,,,,0.0 g,,11.00 mcg,0.00 mcg,,,,,,,,0.000 g,0.000 g,0.000 g,,,,0.00 mg,,,,0.00 mcg,0.00 mcg,,10.00 mg,,,,,0.000 g,0.070 mg,,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,,,,,95.00 mg,,0.000 g,129.00 mg,,3.10 g,0.150 mg,0.000 g,5.3 mcg,,100 g,141.00 mg,,,,0.39 g,,,0.000 g,,0.00 mg,0.040 mg,,0.00 mg,,,,,,,,,,,,,,,,,,255.00 IU,73.00 mcg,0.30 mcg,0.020 mg,0.0 mg,0.00 IU,,,0.00 mg,0.0 mcg,80.60 g,0.50 mg
"Sour cream, light",,,,0.0 g,,0.70 g,,,,0.340 g,0.00 mg,141.00 mg,136,,7.10 g,0.00 mcg,21.00 mcg,35.00 mg,19.2 mg,,,,,,,0.016 mg,0.00 mcg,,0.260 g,,0.000 g,,0.000 g,,0.000 g,,,0.300 g,,,,,0.000 g,0.000 g,0.000 g,10.60 g,,,,0.0 g,,11.00 mcg,0.00 mcg,,,,,,,,2.780 g,0.240 g,0.200 g,,,,0.07 mg,,,,0.00 mcg,0.00 mcg,,10.00 mg,,,,,3.100 g,0.070 mg,,0.240 g,1.280 g,0.000 g,0.160 g,2.660 g,0.110 g,,,,,71.00 mg,,0.400 g,212.00 mg,,3.50 g,0.120 mg,6.600 g,3.1 mcg,,100 g,83.00 mg,,,,0.22 g,,,1.060 g,,0.00 mg,0.040 mg,,0.30 mg,,,,,,,,,,,,,,,,,,328.00 IU,90.00 mcg,0.42 mcg,0.020 mg,0.9 mg,8.00 IU,,0.2 mcg,0.30 mg,0.5 mcg,78.10 g,0.50 mg
Soy sauce made from hydrolyzed vegetable protein,,,,0.0 g,,16.63 g,,,,0.000 g,0.00 mg,17.00 mg,60,,7.84 g,0.00 mcg,0.00 mcg,0.00 mg,27.5 mg,,,,,,,0.041 mg,0.00 mcg,,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.000 g,0.51 g,0.000 g,,,0.5 g,,13.00 mcg,0.00 mcg,0.00 g,0.00 g,0.70 g,,,,,0.027 g,0.000 g,0.000 g,,,,0.33 mg,,0.00 g,,0.00 mcg,0.00 mcg,,29.00 mg,0.60 g,0.100 mg,,,0.060 g,2.828 mg,,0.127 g,0.007 g,0.000 g,0.020 g,0.054 g,0.000 g,0.269 mg,,,,94.00 mg,,0.147 g,447.00 mg,,7.00 g,0.109 mg,0.040 g,0.8 mcg,,100 g,6820.00 mg,,,0.00 g,1.30 g,,,0.000 g,,0.00 mg,0.042 mg,,0.00 mg,,,,,,,,,,,,,,,,,,0.00 IU,0.00 mcg,0.00 mcg,0.143 mg,0.0 mg,0.00 IU,,,0.00 mg,0.0 mcg,68.02 g,0.23 mg
Soy sauce made from soy (tamari),,,0.536 g,0.0 g,0.405 g,17.82 g,0.882 g,,,0.000 g,0.00 mg,20.00 mg,60,,5.57 g,0.00 mcg,0.00 mcg,0.00 mg,38.4 mg,,,,,,,0.135 mg,0.00 mcg,0.107 g,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.000 g,0.10 g,0.000 g,,,0.8 g,,18.00 mcg,0.00 mcg,,,,2.411 g,0.435 g,,,0.008 g,0.000 g,0.000 g,0.215 g,,,2.38 mg,0.487 g,,0.735 g,0.00 mcg,0.00 mcg,0.731 g,40.00 mg,,0.499 mg,,0.167 g,0.017 g,3.951 mg,,0.039 g,0.003 g,0.000 g,0.005 g,0.017 g,0.000 g,0.376 mg,,,0.534 g,130.00 mg,,0.044 g,212.00 mg,0.806 g,10.51 g,0.152 mg,0.011 g,0.8 mcg,0.483 g,100 g,5586.00 mg,,,,1.70 g,,,0.000 g,,0.00 mg,0.059 mg,0.407 g,0.00 mg,,,,,,,,,,,,,,0.181 g,0.342 g,,0.524 g,0.00 IU,0.00 mcg,0.00 mcg,0.200 mg,0.0 mg,0.00 IU,,,0.00 mg,0.0 mcg,66.00 g,0.43 mg
Soy sauce made from soy and wheat (shoyu),,,0.294 g,0.0 g,0.463 g,15.21 g,0.719 g,,29.8 mg,0.000 g,0.00 mg,33.00 mg,53,,4.93 g,0.00 mcg,0.00 mcg,0.00 mg,18.3 mg,,,,,,,0.043 mg,0.00 mcg,0.118 g,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.000 g,0.57 g,0.000 g,,,0.8 g,,14.00 mcg,0.00 mcg,0.00 g,0.00 g,0.30 g,1.579 g,0.297 g,,,0.058 g,0.000 g,0.000 g,0.174 g,,,1.45 mg,0.318 g,0.00 g,0.537 g,0.00 mcg,0.00 mcg,0.381 g,74.00 mg,0.00 g,1.018 mg,,0.097 g,0.088 g,2.196 mg,,0.234 g,0.007 g,0.000 g,0.029 g,0.080 g,0.000 g,0.297 mg,,,0.353 g,166.00 mg,,0.263 g,435.00 mg,0.493 g,8.14 g,0.165 mg,0.073 g,0.5 mcg,0.388 g,100 g,5493.00 mg,,,0.10 g,0.40 g,,,0.000 g,,0.00 mg,0.033 mg,0.271 g,0.00 mg,,,,,,,,,,,,,,0.096 g,0.244 g,,0.332 g,0.00 IU,0.00 mcg,0.00 mcg,0.148 mg,0.0 mg,0.00 IU,,,0.00 mg,0.0 mcg,71.15 g,0.87 mg
